bugID,sd,clean_text,co
548397,The platform's executables are not signed in the p2 update site,the platforms executables are not signed in the p update site,Releng
554176,[Coding Style] Get rid of mixed line endings,coding style get rid of mixed line endings,Core
551676,Updating dynamic Java working sets even though I do not have any,updating dynamic java working sets even though i do not have any,UI
548363,"Update JNI code with ""contains"" instead of ""indexOf""",update jni code with contains instead of indexof,SWT
551227,[13] Wrong syntax highlights of preview switch expressions,wrong syntax highlights of preview switch expressions,UI
550719,[Win32] Cannot cycle in Link widget when it is the only widget,win cannot cycle in link widget when it is the only widget,SWT
548710,"""File Not Accessible"" dialog is not cancellable",file not accessible dialog is not cancellable,UI
551127,The caret stops blinking after opening another shell,the caret stops blinking after opening another shell,SWT
550140,Eclipse release notes are hard to find,eclipse release notes are hard to find,Releng
550720,[Win32] Screen reader have problems with Link containing multiple links,win screen reader have problems with link containing multiple links,SWT
554738,Show in Diagram Editor does not work for Sequence Links associated to FCI Links,show in diagram editor does not work for sequence links associated to fci links,Diagram
551662,Table#setSelection should use Varargs,tablesetselection should use varargs,SWT
550816,Fix process monitoring bugs in PDE,fix process monitoring bugs in pde,UI
555293,Update build model of addons to match Capella 1.0.0 version,update build model of addons to match capella  version,Releng
552433,[Dark theme] Move workaround for LogView Text search to a general setting,dark theme move workaround for logview text search to a general setting,UI
547936,[Snippets] Every Snippet should set a window title,snippets every snippet should set a window title,SWT
548658,Stackoverflow in SWT on Mac OS 10.14.5,stackoverflow in swt on mac os,SWT
553742,POM and product version change for 4.15 release,pom and product version change for  release,Releng
547005,[Win32] Menus rendered empty when certain editors are active,win menus rendered empty when certain editors are active,SWT
554729,Insert functions operation inserts same function twice on xDFB,insert functions operation inserts same function twice on xdfb,Diagram
547044,"Font effects don't work by using ""Font"" buton of the tabbar.",font effects dont work by using font buton of the tabbar,Diagram
553355,[Wayland] Can't get proper display relative coordinates,wayland cant get proper display relative coordinates,SWT
547727,Regression - Viewpoint extension not working in sirius 6.1,regression  viewpoint extension not working in sirius,Core
551438,Fix files that have ended up with CRLF in the git repository,fix files that have ended up with crlf in the git repository,Releng
547709,[13] Allow JDT to target Java 13 in compiler preferences,allow jdt to target java  in compiler preferences,UI
552143,Deploy ecj compiler of 4.14M2 and use it for 4.14 build,deploy ecj compiler of m and use it for  build,Releng
550282,[13] Create Patch (P) build for Java 13,create patch p build for java,Releng
554525,Dispersion des notes dans les diagrammes breakdown,dispersion des notes dans les diagrammes breakdown,Diagram
554044,HoldingResource references in model lead to invalid proxies,holdingresource references in model lead to invalid proxies,Core
554512,Cannot Create Exchange Context through Sequence message properties,cannot create exchange context through sequence message properties,Diagram
554734,Through a Diagram using shortcut copy /paste (Ctrl+C/Ctrl+V) paste diagram graphical element twice (reopening session),through a diagram using shortcut copy paste ctrlcctrlv paste diagram graphical element twice reopening session,Diagram
552511,Create cleanup script for equinox downloads,create cleanup script for equinox downloads,Releng
551405,[Mac] Text widget with SWT.SEARCH and SWT.ICON_CANCEL - cancel icon no longer accepts left-click to clear the field,mac text widget with swtsearch and swticon_cancel  cancel icon no longer accepts leftclick to clear the field,SWT
553270,Run Source > Cleanup on all code,run source  cleanup on all code,Releng
554591,"[Regression][OAS] Create OAS Scenario create errors in error log and does not set trigram OAS (on Pr Explorer OAS, Op Capa or Act Explorer or on Diagram)",regressionoas create oas scenario create errors in error log and does not set trigram oas on pr explorer oas op capa or act explorer or on diagram,Diagram
552978,Many wildcards hang quick access,many wildcards hang quick access,UI
549210,[Regression][Cocoa] GC.drawImage draws transparent region into black once getImageData is invoked,regressioncocoa gcdrawimage draws transparent region into black once getimagedata is invoked,SWT
550652,"[content assist] Content assist ""substring"" with type names no longer works",content assist content assist substring with type names no longer works,Core
549103,Ctrl + A and Ctrl + S not working with Build id: I20190708-1800,ctrl  a and ctrl  s not working with build id i,UI
548613,API report for org.eclipse.core.databinding.observable is missing,api report for orgeclipsecoredatabindingobservable is missing,Releng
552277,[Win32] Virtual Table becomes visible upon setItemCount,win virtual table becomes visible upon setitemcount,SWT
550879,[13] Add org.eclipse.jdt.junit.core to Y-build,add orgeclipsejdtjunitcore to ybuild,Releng
547303,[HiDpi][Snippets] Snippet139 uses 100% image to rotate and flip on hidpi,hidpisnippets snippet uses  image to rotate and flip on hidpi,SWT
551913,Invalid error: The method X must override or implement a supertype method,invalid error the method x must override or implement a supertype method,Core
547925,Move to release version of 4.12 in build scripts,move to release version of  in build scripts,Releng
554648,Enhance creation and display of Physical Paths,enhance creation and display of physical paths,Diagram
547187,need splash screen update for 2019-06,need splash screen update for,Releng
549139,DeleteResourceAction should check with registered ModelProviders before deleting resources,deleteresourceaction should check with registered modelproviders before deleting resources,UI
547762,osgi.bundles and start levels from existing config.ini are not considered,osgibundles and start levels from existing configini are not considered,UI
554631,Reorder Tools NPE,reorder tools npe,Diagram
551309,[releng] Align versions,releng align versions,Core
554624,Diagram palette tool ergonomy: merge insert Functon and insert Actor Function tools,diagram palette tool ergonomy merge insert functon and insert actor function tools,Diagram
547730,"IllegalArgumentException during some diagram opening without ""refresh at opening""",illegalargumentexception during some diagram opening without refresh at opening,Diagram
554646,[OAIB] Allow drag from Capella explorer and drop in operational activity,oaib allow drag from capella explorer and drop in operational activity,Diagram
554565,"New filter 'Show Modifiers"" to add information in property, exchange item element and association end labels",new filter show modifiers to add information in property exchange item element and association end labels,Diagram
551513,"""Start automatically in dark theme based on OS theme"" leads to null theme with RCP apps",start automatically in dark theme based on os theme leads to null theme with rcp apps,SWT
552409,JniGenerator to always zero-initialize structs before filling them,jnigenerator to always zeroinitialize structs before filling them,SWT
550535,"[AF] When switch viewpoints, the editors not managed by current viewpoints must be closed",af when switch viewpoints the editors not managed by current viewpoints must be closed,Core
554558,Can't delete a link from constraint to PComponent in [PAB],cant delete a link from constraint to pcomponent in pab,Diagram
547159,All macOS binaries included in Eclipse platform should be correctly signed to pass Apple's notarization process,all macos binaries included in eclipse platform should be correctly signed to pass apples notarization process,Releng
554754,Problem with Insert CE on Types in multi-part mode (reusable mode),problem with insert ce on types in multipart mode reusable mode,Diagram
548451,4.13 I-Build: I20190619-1820 BUILD FAILED,ibuild i build failed,SWT
548661,[GTK] DND from SWT to embbedded AWT frame (SWT_AWT) is broken on Linux,gtk dnd from swt to embbedded awt frame swt_awt is broken on linux,SWT
549652,git clean should suspend auto build,git clean should suspend auto build,UI
554342,Unable to create SystemFunction when a VP is installed and contribute a semantic decoration,unable to create systemfunction when a vp is installed and contribute a semantic decoration,Core
549988,Refactor ConvertLoopFix to jdt.core.manipulation for the use of jdt.ls,refactor convertloopfix to jdtcoremanipulation for the use of jdtls,UI
554002,Update of new test framework prototype,update of new test framework prototype,Core
554619,"Remove ""UNSET"" nature button in Physical Component properties view",remove unset nature button in physical component properties view,Diagram
550534,Crash when opening Code Style Formatter in CDT,crash when opening code style formatter in cdt,SWT
552207,Elements to Select expression behavior is not compliant with the documentation,elements to select expression behavior is not compliant with the documentation,Diagram
551812,"Change the ""Find Actions"" button",change the find actions button,UI
550186,Eclipse 4.13 prerequisites for M3: Orbit,eclipse  prerequisites for m orbit,Releng
551486,[14] Create P-build,create pbuild,Releng
553142,[14] Grammar changes for pattern instanceof,grammar changes for pattern instanceof,Core
549061,[Class Diagram] Cannot create property in a DataType,class diagram cannot create property in a datatype,Diagram
552535,I20191029-1800 build failure,i build failure,Releng
547402,"Unexpected ""build-individual-bundles"" profile activation in aggregator build",unexpected buildindividualbundles profile activation in aggregator build,Releng
554091,"Add RCPTT test for ""Bug 485634 - Session switch in Activity Explorer editor leads to errors""",add rcptt test for bug   session switch in activity explorer editor leads to errors,Core
551767,Update prereqs for 4.14 M1 release: ECF,update prereqs for  m release ecf,Releng
547125,[12] NPE in compiler.problem.ProblemReporter.duplicateCase(...) on reconcile,npe in compilerproblemproblemreporterduplicatecase on reconcile,Core
549376,[Ubuntu 14.04] Native crash in OS._gtk_widget_show when creating RADIO MenuItem with UBUNTU_MENUPROXY,ubuntu  native crash in os_gtk_widget_show when creating radio menuitem with ubuntu_menuproxy,SWT
548056,"[GTK][Preferences] Add space between ""Show whitespace characters"" and ""(configure visiblity)""",gtkpreferences add space between show whitespace characters and configure visiblity,SWT
547188,Mark IResourceNavigator and related API for deletion,mark iresourcenavigator and related api for deletion,UI
550007,Run PDE compiler only when the contents of the preference file has changed,run pde compiler only when the contents of the preference file has changed,UI
549422,[HiDPI] Improve HiDPI support in 4.13,hidpi improve hidpi support in,SWT
549901,[Win32] Table column 0 has wrong alignment,win table column  has wrong alignment,SWT
552408,Provide scripting module help,provide scripting module help,Core
548556,Build failed with SWT-Increment_if_needed for I20190622-1800,build failed with swtincrement_if_needed for i,SWT
551539,"Select all / deselect all in the Git Staging view ""flashes"" the viewer",select all  deselect all in the git staging view flashes the viewer,UI
552227,[SequenceDiagram] Use of Message Found in sequence diagram cause leads blocked diagram elements after save and reopen,sequencediagram use of message found in sequence diagram cause leads blocked diagram elements after save and reopen,Diagram
550967,[10.15] Mac dark theme not listed in Eclipse,mac dark theme not listed in eclipse,UI
551999,TableEditor doesn't move with cell,tableeditor doesnt move with cell,SWT
554634,Startup doesn't ask for workspace anymore,startup doesnt ask for workspace anymore,Diagram
550226,[content assist] New proposal category may get enabled by default,content assist new proposal category may get enabled by default,UI
554548,Insert/remove Relationships in IDB,insertremove relationships in idb,Diagram
552513,Create updateIndex script for JIRO,create updateindex script for jiro,Releng
552323,[GTK] in-place Spinner as table editor not usable in plugin configuration dialog,gtk inplace spinner as table editor not usable in plugin configuration dialog,SWT
548019,Move I-builds to R4_12_maintenance branch,move ibuilds to r__maintenance branch,Releng
554722,Displaying edges between parents if source or target of FunctionalChainInvolvementLink is collapsed,displaying edges between parents if source or target of functionalchaininvolvementlink is collapsed,Diagram
550663,FilterService.sortFilters is called too often,filterservicesortfilters is called too often,Diagram
554658,Migration to AQL - partition tests Quantiques,migration to aql  partition tests quantiques,Diagram
547553,[macOS] Table does not receive SWT.Resize event if the scrollbar is shown/hidden,macos table does not receive swtresize event if the scrollbar is shownhidden,SWT
551291,Refactor InlineRefactoring to jdt.core.manipulation for use by jdt.ls,refactor inlinerefactoring to jdtcoremanipulation for use by jdtls,UI
552276,Why does EGit ignore local hooks?,why does egit ignore local hooks,Core
550818,[null][external] external annotations are dropped when other type annotations exist on the same member,nullexternal external annotations are dropped when other type annotations exist on the same member,Core
555300,Cannot run documentation generation when using bundle pool,cannot run documentation generation when using bundle pool,Releng
553251,[ELK] List and list items are not correctly handled by ELK layout,elk list and list items are not correctly handled by elk layout,Diagram
554025,Prepare version and splashscreen for 1.0.0,prepare version and splashscreen for,Core
551521,org.eclipse.core.runtime.CoreException: No property tester contributes a property com.ifedorenko.m2e.sourcelookup.m2estratum to type class,orgeclipsecoreruntimecoreexception no property tester contributes a property comifedorenkomesourcelookupmestratum to type class,UI
554607,Add the option to only clean DAnnotations instead of migrate them,add the option to only clean dannotations instead of migrate them,Diagram
555277,Update Kitalpha to latest version,update kitalpha to latest version,Releng
552716,"Assertion: ""This code should never have executed""",assertion this code should never have executed,SWT
555260,Update Sirius.Query.Legacy to 1.1.0,update siriusquerylegacy to,Releng
547807,ECJ cannot compile more than two chained calls on methods returning self-type in an interface with a complex self-type generic type parameter,ecj cannot compile more than two chained calls on methods returning selftype in an interface with a complex selftype generic type parameter,Core
553736,Prep work for 4.15 and open master for development,prep work for  and open master for development,Releng
550368,[ELK] All ELK algorithm options are not avalaible in VSM,elk all elk algorithm options are not avalaible in vsm,Diagram
549889,[GTK] Tree column 0 has wrong alignment,gtk tree column  has wrong alignment,SWT
547420,Substring match while filtering methods should be lower in relevance,substring match while filtering methods should be lower in relevance,UI
551654,UI Freeze for several minutes in ProjectViewer,ui freeze for several minutes in projectviewer,SWT
554739,Creation of physical path should not propose wizard for starting point,creation of physical path should not propose wizard for starting point,Diagram
554038,Add rename tool to test framework,add rename tool to test framework,Core
553274,PartOnTopManager uses @EventTopic instead of @UIEventTopic,partontopmanager uses eventtopic instead of uieventtopic,UI
550523,4.13 Acknowledgements,acknowledgements,Releng
554584,Improve Manipulation of Compartment,improve manipulation of compartment,Diagram
554707,Exceptions when creating diagrams,exceptions when creating diagrams,Diagram
550142,very high Ram consumption on Mac os,very high ram consumption on mac os,SWT
549238,4.13.0 I-Build: I20190713-0230 - BUILD FAILED,ibuild i  build failed,Releng
555520,"""Error while modifying model"" in Activity Explorer when clicking on ""[OAS] Create a new Operational Activity Scenario""",error while modifying model in activity explorer when clicking on oas create a new operational activity scenario,UI
547869,We can not access the class of diagram at ElkGraphlayout,we can not access the class of diagram at elkgraphlayout,Core
547489,[GTK] widgetSelected() and different OS platform behaviors,gtk widgetselected and different os platform behaviors,SWT
548720,[PropertiesView] Impossible to open properties view for '*.ctx' file,propertiesview impossible to open properties view for ctx file,Core
548611,Test attribute ignored for classpath container entries,test attribute ignored for classpath container entries,Core
555503,Filter action in Capella overview,filter action in capella overview,UI
552634,Please fix the problems associated with your simrel contribution,please fix the problems associated with your simrel contribution,Releng
554222,Backport changes from ValidationRuleTestCase to 1.0.x,backport changes from validationruletestcase to x,Core
552223,[cocoa]  NPE in Menu._setVisible when clicking a menuitem of a disposed menu,cocoa  npe in menu_setvisible when clicking a menuitem of a disposed menu,SWT
549069,Node creation processing does not guarantee the order,node creation processing does not guarantee the order,Diagram
554514,Icon of functions are not displayed by default in SAB and LAB diagrams,icon of functions are not displayed by default in sab and lab diagrams,Diagram
553463,Move to 2019-12,move to,Core
554713,"Internal links of Functional Chain are not hidded when  ""Hide Functional Exchanges"" filter is applied",internal links of functional chain are not hidded when  hide functional exchanges filter is applied,Diagram
552203,JVM crash when clicking to edit a cell in properties view,jvm crash when clicking to edit a cell in properties view,SWT
547202,Consistently get stackoverflow displaying widgets trying to switch to debug perspective,consistently get stackoverflow displaying widgets trying to switch to debug perspective,SWT
554555,"Remove unused NodeMappings ""ControlFunction"" from .odesign files",remove unused nodemappings controlfunction from odesign files,Diagram
552788,PluginModelManager.getEntryTable is slow,pluginmodelmanagergetentrytable is slow,UI
554765,"Delete the container of the target element from ""Delete From Model"" toolbar action fails",delete the container of the target element from delete from model toolbar action fails,Diagram
550776,Create generic repos I-builds and milestones to point to 4.14 repos,create generic repos ibuilds and milestones to point to  repos,Releng
551363,Deploy ecj compiler from I20191009-1800 and use it for 4.14 build,deploy ecj compiler from i and use it for  build,Releng
549610,"Pages, Sections, Activities should be filtered from UI via Workbench Activity Support / Capabilities",pages sections activities should be filtered from ui via workbench activity support  capabilities,UI
548327,[Win32] Add color constants for disabled background and foreground colors,win add color constants for disabled background and foreground colors,SWT
547090,"The save participant 'org.eclipse.jdt.ui.postsavelistener.cleanup' caused an exception: java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",the save participant orgeclipsejdtuipostsavelistenercleanup caused an exception javalangindexoutofboundsexception index  size,Core
554322,"The ""Activate usage monitoring"" option is not enabled by default",the activate usage monitoring option is not enabled by default,Core
551383,[quick fix] Changing visibility of inherited method not proposed for class inheriting interface,quick fix changing visibility of inherited method not proposed for class inheriting interface,UI
550958,[Cocoa] Table loses header after .setParent() to invisible Composite,cocoa table loses header after setparent to invisible composite,SWT
548160,[Releng] SSH agent write permission to promote,releng ssh agent write permission to promote,Releng
550876,Update to R4_13_maintenance for P-builds and Y-Builds,update to r__maintenance for pbuilds and ybuilds,Releng
554728,Use new Sirius capability to automatically launch a refresh on Collapse/Uncollapse of compartment in FCD diagram,use new sirius capability to automatically launch a refresh on collapseuncollapse of compartment in fcd diagram,Diagram
553564,Create a new scope kind Scope.MODULE_SCOPE,create a new scope kind scopemodule_scope,Core
554524,Category tool behaves strangely in AB and DF diagrams with Functional Exchanges,category tool behaves strangely in ab and df diagrams with functional exchanges,Diagram
554019,Resolve Sonar issues,resolve sonar issues,Core
549188,"""Internal compiler error"" on ""instanceof Object[]""",internal compiler error on instanceof object,Core
551910,Eclipse 4.14 M2 prerequisites: Orbit,eclipse  m prerequisites orbit,Releng
547694,[releng] Specifier plugin in runtime feature,releng specifier plugin in runtime feature,Releng
552507,Use API Generation app directly instead of Ant,use api generation app directly instead of ant,Releng
551231,Few reports are not created with I20190918-1800,few reports are not created with i,Releng
555308,Capella 1.1.0 MacOsx installation is wrong,capella  macosx installation is wrong,Releng
553212,[cocoa] TextLayout.computeRuns() can crash with an NPE,cocoa textlayoutcomputeruns can crash with an npe,SWT
550039,Y build showing comparator error in platform.ua for jsp files,y build showing comparator error in platformua for jsp files,Releng
551346,NPE while running save actions for UnboxingCleanUp,npe while running save actions for unboxingcleanup,Core
554735,Display new Functional Chain concepts on XAB diagrams,display new functional chain concepts on xab diagrams,Diagram
553663,Icon selection dialog of the e4 application model editor  resizes badly,icon selection dialog of the e application model editor  resizes badly,UI
552823,[qvtr2qvts] Support when predicate logic,qvtrqvts support when predicate logic,Core
548020,Create R4_12_maintenance branch from 4.12RC2,create r__maintenance branch from rc,Releng
554412,Invalid precondition to reconnect functional exchange,invalid precondition to reconnect functional exchange,Core
547676,Do the Javadoc bash for 4.12,do the javadoc bash for,SWT
550010,CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer,cpd dialog should have a consistent usage of setusehashlookup for menu and action tree viewer,UI
550693,"There is this ""unknown character"" displayed in the Project Explorer after running JUnit.",there is this unknown character displayed in the project explorer after running junit,UI
551614,[AutoRefactor immigration #13/117] [cleanup & saveaction] Use directly map method,autorefactor immigration  cleanup  saveaction use directly map method,UI
553119,[history] refs/**/[CURRENT-BRANCH] shows empty history,history refscurrentbranch shows empty history,UI
554715,Show/Hide tool can't remove a function with a constraint attached in Data Flow Diagrams,showhide tool cant remove a function with a constraint attached in data flow diagrams,Diagram
547451,Configurable white lists of annotations that should be respected during usage analysis,configurable white lists of annotations that should be respected during usage analysis,Core
547306,[ELK] All ELK algorithm options are not avalaible in VSM,elk all elk algorithm options are not avalaible in vsm,Diagram
548870,[Win32] Tabbing with TableEditor unusuable,win tabbing with tableeditor unusuable,SWT
549511,[SequenceDiagram] Cannot undo the creation of a message with a gate as MessageEnd,sequencediagram cannot undo the creation of a message with a gate as messageend,Diagram
554231,Create a model search integrated in the Eclipse Search Framework,create a model search integrated in the eclipse search framework,Core
554635,Check forceRefresh for ArmTimer and CancelTimer tools,check forcerefresh for armtimer and canceltimer tools,Diagram
549148,[ELK] Do not call BorderItemAwareLayoutProvider when an ELK layout algorithm is used.,elk do not call borderitemawarelayoutprovider when an elk layout algorithm is used,Diagram
549745,Deploy ecj compiler from 4.13 M2 and use it for 4.13 M3 build,deploy ecj compiler from  m and use it for  m build,Releng
554057,Errors on model migration,errors on model migration,Core
549045,[macOS] Editable Combobox: crashes on 10.14.5,macos editable combobox crashes on,SWT
548332,bundles/org.eclipse.swt/.settings/.api_filters changed by the build,bundlesorgeclipseswtsettingsapi_filters changed by the build,SWT
554665,Migration to AQL - doc,migration to aql  doc,Diagram
552336,Move to Tycho 1.5.1,move to tycho,Releng
552617,[Cocoa] Test_org_eclipse_swt_custom_StyledText.test_setStyleRanges_render JUnit failure seen on MAC,cocoa test_org_eclipse_swt_custom_styledtexttest_setstyleranges_render junit failure seen on mac,SWT
548147,[SequenceDiagram][Model2Doc] NullPointerException exporting Sequence Diagram,sequencediagrammodeldoc nullpointerexception exporting sequence diagram,Diagram
554580,SelectElementsFromTransferWizard should allow Collections as input parameters,selectelementsfromtransferwizard should allow collections as input parameters,Diagram
551051,Unexpected compilation errors when changing code of a class from a plug-in project,unexpected compilation errors when changing code of a class from a plugin project,Core
554515,In Sequence Diagrams Arm/Cancel Timer are not displayed (Automatic Refresh not activated),in sequence diagrams armcancel timer are not displayed automatic refresh not activated,Diagram
548806,[GTK][LXDE] SIGSEGV in Java_org_eclipse_swt_internal_C_strlen,gtklxde sigsegv in java_org_eclipse_swt_internal_c_strlen,SWT
554610,"On MSM diagram, it is impossible to start/end a transition on entry/do/exit activities",on msm diagram it is impossible to startend a transition on entrydoexit activities,Diagram
550965,Remove swt tools activator,remove swt tools activator,SWT
551600,[AutoRefactor immigration #12/117] [cleanup & saveaction] Use lazy logical operator,autorefactor immigration  cleanup  saveaction use lazy logical operator,UI
550787,P builds and Y builds should be built from 4_13_maintenance,p builds and y builds should be built from __maintenance,Releng
550643,Some keybindings do not work after split editor,some keybindings do not work after split editor,UI
549962,[13] Formatter Support for Switch Expressions JEP 354,formatter support for switch expressions jep,Core
549658,Java12ElementsTests.testRootElements1() failing,javaelementsteststestrootelements failing,Core
553436,[Passage] add MyLyn settling step to passage.setup script,passage add mylyn settling step to passagesetup script,Releng
555311,Capella Exe should be named capella.exe,capella exe should be named capellaexe,Releng
554010,Impossible to make generalization with Logical Component in Library,impossible to make generalization with logical component in library,Core
554255,New elements doesn't appear in project explorer,new elements doesnt appear in project explorer,Core
